,Individual_ID,Timestamp,Latitude,Longitude,geometry,hour
201608,OST097,2026-01-01 22:50:25.287177+00:00,-20.833247,16.630544,POINT (669665.2272789134 7695448.42396998),2026-01-01 22:00:00+00:00
201610,OST097,2026-01-01 23:50:30.288248+00:00,-20.832368,16.637193,POINT (670358.2152957272 7695538.713213511),2026-01-01 23:00:00+00:00
201612,OST097,2026-01-02 00:50:53.833357+00:00,-20.834566,16.638647,POINT (670507.0666421864 7695293.845524207),2026-01-02 00:00:00+00:00
201614,OST097,2026-01-02 01:50:47.901238+00:00,-20.835862,16.638111,POINT (670449.8231019247 7695150.939827139),2026-01-02 01:00:00+00:00
201616,OST097,2026-01-02 02:50:27.301210+00:00,-20.833312,16.64082,POINT (670734.635864892 7695430.3666197425),2026-01-02 02:00:00+00:00
201618,OST097,2026-01-02 03:50:54.273571+00:00,-20.833312,16.64082,POINT (670734.635864892 7695430.3666197425),2026-01-02 03:00:00+00:00
201621,OST097,2026-01-02 18:51:00.652967+00:00,-20.820737,16.647331,POINT (671426.5094400235 7696815.563604692),2026-01-02 18:00:00+00:00
201623,OST097,2026-01-02 19:50:29.303976+00:00,-20.824186,16.654421,POINT (672160.5511434567 7696426.181518745),2026-01-02 19:00:00+00:00
201625,OST097,2026-01-02 20:50:45.693877+00:00,-20.819532,16.65241,POINT (671956.5242893939 7696943.550818445),2026-01-02 20:00:00+00:00
201627,OST097,2026-01-02 21:50:31.281144+00:00,-20.816332,16.6487,POINT (671573.9901582584 7697301.761370487),2026-01-02 21:00:00+00:00
201629,OST097,2026-01-02 22:50:58.050947+00:00,-20.819316,16.637284,POINT (670382.3700373532 7696983.531906302),2026-01-02 22:00:00+00:00
201631,OST097,2026-01-02 23:50:31.182423+00:00,-20.822259,16.628563,POINT (669471.3506952425 7696666.927180164),2026-01-02 23:00:00+00:00
201633,OST097,2026-01-03 00:50:30.244887+00:00,-20.824255,16.620189,POINT (668597.5393516349 7696454.748616674),2026-01-03 00:00:00+00:00
201635,OST097,2026-01-03 01:50:59.299299+00:00,-20.825362,16.612678,POINT (667814.5593039116 7696340.042573484),2026-01-03 01:00:00+00:00
201639,OST097,2026-01-03 21:51:27.289802+00:00,-20.833105,16.602939,POINT (666792.3942831905 7695492.983542819),2026-01-03 21:00:00+00:00
201642,OST097,2026-01-03 22:51:08.116025+00:00,-20.835492,16.59989,POINT (666472.4461610321 7695231.890484231),2026-01-03 22:00:00+00:00
201646,OST097,2026-01-04 18:51:19.170112+00:00,-20.840619,16.596217,POINT (666084.5608069543 7694668.109685702),2026-01-04 18:00:00+00:00
201648,OST097,2026-01-04 19:51:29.260490+00:00,-20.841724,16.596368,POINT (666099.0623395669 7694545.6270788945),2026-01-04 19:00:00+00:00
201649,OST097,2026-01-05 17:51:20.261604+00:00,-20.846631,16.598746,POINT (666341.1420416564 7693999.951184813),2026-01-05 17:00:00+00:00
201651,OST097,2026-01-05 18:51:04.311285+00:00,-20.850936,16.600423,POINT (666510.920151177 7693521.639403334),2026-01-05 18:00:00+00:00
201653,OST097,2026-01-05 19:50:47.319089+00:00,-20.850608,16.60421,POINT (666905.3657943793 7693554.026358226),2026-01-05 19:00:00+00:00
201654,OST097,2026-01-05 20:51:23.638338+00:00,-20.854429,16.607343,POINT (667227.1687108364 7693127.774884863),2026-01-05 20:00:00+00:00
201657,OST097,2026-01-05 22:51:22.673201+00:00,-20.848975,16.611664,POINT (667682.8593535209 7693727.055302257),2026-01-05 22:00:00+00:00
